State,Year_Built,Square_Footage,CLUE_Loss_Count,Credit_Score,Construction_Type,Protection_Class,AOI,Deductible,Territory,Roof_Age_Applicant,Fire_Alarm,Burglar_Alarm,Roof_Vulnerability_Satellite,Wildfire_Exposure_Daily,Water_Loss_Recency_Months,RCV_Appraised,Fire_Hydrant_Distance,Tree_Canopy_Density,Crime_Severity_Index,Pluvial_Flood_Depth,Building_Code_Compliance,Slope_Steepness,Attic_Ventilation,Hail_Frequency,Soil_Liquefaction_Risk,Dwelling_Age,RCV_Overstatement,Credit_Score_Suppressed,Risk_Tier,Expected_Pure_Premium,Claim_Count,Claim_Amount
FL,2006,2558.0,1,755.0,Frame,3,646059.0,2000,Urban,3,False,False,5.92,1.1,34,542299.0,1.305,29.52,54.18,18.13,58,2.46,Poor,1,Low,20,103760.0,False,Moderate,2104.4,1,1985.82
Other,1980,2055.0,1,735.0,Frame,9,346109.0,2000,Suburban,17,False,True,24.92,24.65,12,339845.0,0.815,32.79,60.26,0.27,54,25.97,Adequate,2,Low,46,6264.0,False,High,2817.17,0,0.0
OK,1971,1328.0,0,568.0,Masonry,10,343143.0,5000,Suburban,15,False,False,14.75,41.81,120,227146.0,1.752,13.83,23.05,1.59,52,3.49,Adequate,3,Low,55,115997.0,False,Moderate,1600.22,0,0.0
WA,1995,1802.0,1,777.0,Frame,4,448334.0,5000,Urban,5,True,False,27.46,73.05,28,382786.0,0.177,38.01,62.56,3.21,58,38.56,Poor,0,Low,31,65548.0,False,High,2668.27,1,720.73
NY,2021,3167.0,1,649.0,Masonry,6,600856.0,1000,Urban,20,True,False,22.55,8.37,19,608706.0,0.347,24.73,47.16,0.25,100,4.82,Adequate,1,Low,5,0.0,False,Moderate,2224.41,1,1748.21
TX,1960,2219.0,1,593.0,Frame,10,525310.0,500,Urban,26,False,True,16.1,10.3,7,520473.0,0.808,11.96,63.96,9.55,68,7.76,Poor,6,High,66,4837.0,False,Very High,10716.87,5,44276.71
CO,1986,1956.0,1,774.0,Masonry,4,439670.0,2000,Suburban,8,True,False,7.04,13.35,31,316558.0,0.531,4.26,64.78,0.86,46,3.08,Poor,2,Low,40,123112.0,False,Moderate,1590.3,0,0.0
CA,1973,3083.0,0,700.0,Frame,2,768499.0,1000,Suburban,17,True,True,17.42,12.8,120,681617.0,0.192,9.72,47.92,4.47,52,9.13,Adequate,1,Low,53,86882.0,True,Moderate,1983.67,0,0.0
WA,2005,2788.0,0,621.0,Frame,8,448121.0,2000,Suburban,12,True,False,27.29,17.99,120,650679.0,0.448,21.18,56.4,4.74,83,4.86,Poor,0,Moderate,21,0.0,False,Moderate,1905.67,0,0.0
OK,1951,1993.0,0,803.0,Fire Resistive,1,590192.0,5000,Suburban,29,True,False,3.92,1.23,120,364957.0,0.298,6.61,77.07,0.07,40,5.97,Adequate,1,Low,75,225235.0,False,Moderate,1994.4,2,5112.82
MA,1975,2629.0,1,700.0,Frame,4,559124.0,5000,Urban,13,True,True,26.54,9.35,20,488862.0,0.429,29.61,67.66,0.74,41,2.73,Adequate,1,High,51,70262.0,True,High,2832.19,0,0.0
FL,1950,1778.0,0,769.0,Masonry,4,463469.0,5000,Rural,29,False,False,29.69,0.6,120,339670.0,0.298,10.3,22.31,3.9,36,2.18,Adequate,0,Low,76,123799.0,False,High,2749.64,2,4932.48
Other,1968,2195.0,0,690.0,Frame,5,473116.0,2000,Rural,12,True,True,25.86,2.12,120,397436.0,1.112,13.88,40.27,0.09,36,13.43,Adequate,2,Moderate,58,75680.0,False,High,2569.72,0,0.0
GA,2011,2388.0,0,654.0,Frame,1,725930.0,1000,Suburban,3,True,True,22.43,2.72,120,534232.0,0.143,57.52,38.83,1.21,82,7.23,Poor,2,Moderate,15,191698.0,False,Moderate,1300.32,0,0.0
MA,1997,2461.0,1,700.0,Frame,3,676837.0,1000,Suburban,22,False,False,12.09,19.36,16,526685.0,0.649,32.36,6.8,0.97,97,6.55,Adequate,0,Low,29,150152.0,True,Moderate,1821.62,0,0.0
TX,1973,1990.0,0,668.0,Frame,9,500779.0,2000,Rural,14,False,False,12.08,0.23,120,441660.0,0.274,6.07,34.37,1.67,56,11.73,Adequate,5,Low,53,59119.0,False,Moderate,2316.52,0,0.0
NY,1973,2420.0,0,730.0,Frame,10,366880.0,1000,Urban,9,False,False,16.43,30.59,120,384630.0,0.778,30.22,70.25,3.32,32,4.26,Poor,0,Low,53,0.0,False,Moderate,1986.26,0,0.0
CA,2019,2086.0,2,700.0,Frame,10,334629.0,1000,Rural,1,True,False,1.48,90.05,27,333620.0,2.242,21.43,39.55,12.23,58,16.98,Adequate,0,Low,7,1009.0,True,High,2538.55,0,0.0
TX,2016,1602.0,0,759.0,Frame,3,319263.0,500,Suburban,4,False,False,28.42,16.95,120,294309.0,0.633,18.24,17.69,7.11,88,27.05,Adequate,3,Low,10,24954.0,False,Moderate,1210.56,0,0.0
LA,2022,2854.0,0,735.0,Frame,2,776695.0,2000,Urban,5,True,False,0.0,4.23,120,562832.0,0.64,13.91,70.26,8.01,99,8.54,Poor,1,Moderate,4,213863.0,False,Low,1118.04,0,0.0
MA,1972,2086.0,1,700.0,Frame,2,476506.0,1000,Rural,21,True,True,23.86,19.91,31,390411.0,0.291,37.26,36.29,2.58,61,22.3,Adequate,2,Moderate,54,86095.0,True,High,3194.3,0,0.0
Other,1969,1992.0,0,645.0,Fire Resistive,4,383250.0,2000,Urban,19,False,True,11.86,0.63,120,359297.0,0.285,5.53,37.21,1.47,48,19.37,Adequate,0,Low,57,23953.0,False,Moderate,1228.36,0,0.0
FL,2023,3226.0,0,829.0,Masonry,9,651590.0,2000,Urban,5,True,False,7.02,5.16,120,465109.0,1.051,22.27,60.88,10.3,96,16.82,Poor,1,Low,3,186481.0,False,Low,1189.67,1,2535.56
FL,1972,2304.0,0,850.0,Frame,8,462475.0,2000,Suburban,21,False,False,9.15,7.36,120,416386.0,1.982,17.44,69.39,0.87,56,20.63,Adequate,0,Low,54,46089.0,False,Moderate,1299.63,0,0.0
NY,1997,1926.0,0,737.0,Frame,5,332827.0,1000,Suburban,12,True,False,26.74,7.91,120,330704.0,0.422,38.24,73.97,7.46,72,3.91,Excellent,2,Low,29,2123.0,False,Moderate,1431.52,0,0.0
TX,2015,2385.0,0,706.0,Frame,6,452688.0,2000,Rural,4,False,False,13.45,0.35,120,446176.0,0.673,9.54,45.67,9.08,82,1.35,Excellent,3,Low,11,6512.0,False,Moderate,1289.09,0,0.0
CA,1993,3102.0,0,700.0,Fire Resistive,4,877885.0,1000,Rural,15,True,False,13.51,22.25,120,627400.0,0.236,39.32,47.56,2.81,75,15.94,Adequate,0,Low,33,250485.0,True,Moderate,1836.54,0,0.0
NY,2019,2451.0,0,673.0,Frame,5,511753.0,5000,Urban,6,True,True,29.55,36.53,120,424588.0,1.233,31.52,11.24,3.93,95,4.64,Adequate,0,Low,7,87165.0,False,Moderate,1306.09,0,0.0
TX,1962,2154.0,0,844.0,Frame,3,436139.0,1000,Rural,25,False,False,28.3,2.24,120,377293.0,1.007,15.27,65.19,3.92,50,4.95,Adequate,3,Low,64,58846.0,False,Moderate,2414.67,1,1095.15
LA,1984,1404.0,0,781.0,Frame,7,200819.0,2000,Suburban,24,True,False,16.0,15.07,120,205345.0,1.422,19.51,45.22,8.64,79,1.09,Adequate,1,Low,42,0.0,False,Low,921.69,0,0.0
NY,1998,1840.0,1,757.0,Masonry,1,364037.0,5000,Suburban,12,True,False,16.03,2.52,4,372407.0,1.104,20.27,42.88,1.68,80,2.4,Adequate,0,Low,28,0.0,False,Moderate,1334.12,0,0.0
WA,2002,2125.0,0,651.0,Masonry,8,355812.0,1000,Suburban,18,False,False,13.03,11.78,120,273139.0,0.532,21.36,80.47,1.85,81,22.54,Excellent,0,Low,24,82673.0,False,Low,1138.92,0,0.0
LA,1997,2414.0,0,813.0,Frame,8,480425.0,2000,Suburban,14,False,False,18.55,7.1,120,412749.0,0.778,4.42,59.1,3.2,72,6.19,Poor,1,Moderate,29,67676.0,False,Low,1178.22,0,0.0
FL,2021,1360.0,1,844.0,Frame,4,208438.0,5000,Rural,2,True,False,19.12,2.11,15,179386.0,0.695,3.6,77.27,11.46,88,7.35,Excellent,0,Low,5,29052.0,False,Low,689.42,0,0.0
WA,2004,2719.0,0,646.0,Frame,6,728405.0,2000,Urban,6,True,False,11.13,1.03,120,497372.0,0.332,2.05,47.19,1.53,66,5.76,Poor,0,Low,22,231033.0,False,Moderate,1387.04,0,0.0
WA,1994,2215.0,0,820.0,Frame,6,416732.0,2000,Suburban,23,False,False,14.57,11.65,120,325391.0,0.88,32.58,70.93,2.7,85,2.61,Adequate,0,Low,32,91341.0,False,Low,1161.99,1,415.3
FL,1966,2554.0,0,781.0,Frame,4,653398.0,500,Rural,20,True,True,17.52,9.34,120,563154.0,0.196,22.05,50.97,9.04,53,11.94,Poor,1,High,60,90244.0,False,High,2800.62,0,0.0
TX,1951,1663.0,1,678.0,Frame,10,336757.0,1000,Suburban,30,False,False,7.24,0.46,6,257899.0,1.105,8.21,43.84,0.55,45,11.14,Poor,1,High,75,78858.0,False,High,3458.82,4,7616.61
LA,1998,1891.0,0,731.0,Frame,6,315206.0,2000,Suburban,12,False,False,29.23,48.32,120,292819.0,0.481,64.51,48.43,4.72,68,18.84,Adequate,0,Moderate,28,22387.0,False,Moderate,1614.87,0,0.0
CA,1951,2542.0,1,700.0,Masonry,5,467821.0,1000,Urban,30,False,False,30.55,12.33,17,514309.0,0.534,47.92,33.69,0.65,49,10.46,Poor,0,Moderate,75,0.0,True,Very High,5315.47,2,13590.03
TX,2001,3249.0,0,813.0,Frame,5,763163.0,2000,Urban,8,False,False,1.94,13.72,120,726258.0,0.103,32.46,56.09,0.8,70,16.39,Adequate,2,Low,25,36905.0,False,Moderate,1458.81,1,2624.77
CA,1988,1872.0,0,700.0,Frame,5,380176.0,1000,Urban,16,False,True,14.79,13.02,120,443096.0,1.179,2.85,40.68,2.63,84,0.12,Poor,1,Moderate,38,0.0,True,Low,1173.82,0,0.0
MA,1976,1200.0,1,700.0,Frame,1,258950.0,1000,Urban,6,True,True,8.35,0.29,13,236665.0,0.368,12.87,72.85,1.43,38,6.11,Excellent,0,Moderate,50,22285.0,True,Low,849.79,0,0.0
LA,1973,1618.0,0,580.0,Frame,3,255714.0,1000,Urban,27,False,True,14.91,9.63,120,255910.0,0.614,25.33,50.12,1.57,78,11.13,Poor,0,Low,53,0.0,False,Low,937.57,1,552.15
LA,1964,2730.0,0,648.0,Fire Resistive,9,760529.0,1000,Suburban,28,True,False,30.57,10.14,120,553738.0,1.722,23.1,34.43,0.13,77,8.96,Poor,1,Low,62,206791.0,False,High,3830.03,0,0.0
MA,1970,3131.0,0,700.0,Frame,9,990707.0,500,Suburban,12,True,False,9.6,4.81,120,581089.0,0.731,56.84,69.15,1.2,37,1.74,Adequate,0,Low,56,409618.0,True,High,2830.31,0,0.0
NY,1969,1828.0,2,652.0,Frame,3,341284.0,1000,Urban,20,True,False,19.7,27.57,32,310388.0,0.242,20.0,66.45,4.2,50,2.22,Adequate,0,Low,57,30896.0,False,Moderate,2160.65,1,1368.4
CO,1954,1421.0,0,605.0,Frame,6,343837.0,500,Suburban,23,True,True,19.81,12.23,120,346628.0,0.254,19.96,38.67,2.94,43,7.25,Adequate,7,Low,72,0.0,False,Very High,10780.14,1,4737.26
CA,1981,2936.0,0,700.0,Frame,9,726916.0,500,Suburban,23,False,True,0.0,9.34,120,499779.0,2.018,21.77,54.88,3.52,69,8.72,Adequate,1,Low,45,227137.0,True,Moderate,1811.18,0,0.0
CA,1977,2486.0,0,700.0,Frame,2,655598.0,500,Suburban,6,False,False,17.93,17.77,120,486602.0,0.404,8.39,56.93,0.0,36,7.42,Adequate,0,Low,49,168996.0,True,Moderate,2215.71,0,0.0
LA,1985,2027.0,1,447.0,Masonry,6,327671.0,500,Suburban,25,True,False,6.41,0.53,20,335063.0,0.682,18.43,60.88,4.29,83,7.23,Poor,0,Low,41,0.0,False,Moderate,1320.01,0,0.0
NY,1977,2607.0,0,682.0,Frame,4,521428.0,2000,Urban,24,False,True,4.45,0.26,120,447627.0,0.391,15.92,37.52,0.69,67,1.57,Excellent,0,Moderate,49,73801.0,False,Moderate,1240.13,0,0.0
CO,1971,1960.0,0,615.0,Frame,2,332188.0,1000,Urban,26,False,True,11.49,2.89,120,312738.0,0.195,7.2,28.05,8.83,67,13.42,Poor,1,Moderate,55,19450.0,False,Moderate,1304.01,0,0.0
MA,1988,1446.0,1,700.0,Frame,10,383665.0,1000,Suburban,7,False,False,27.26,5.76,17,233215.0,0.661,42.33,85.04,0.25,54,5.65,Adequate,0,Low,38,150450.0,True,Moderate,2210.4,0,0.0
OK,2011,3116.0,1,536.0,Frame,7,1034410.0,1000,Urban,3,False,False,16.56,13.92,26,544969.0,0.63,26.3,46.3,9.36,67,13.21,Poor,7,Low,15,489441.0,False,Very High,10606.3,1,9599.02
CO,1978,1573.0,0,725.0,Frame,6,338636.0,2000,Urban,10,False,False,10.88,36.34,120,284203.0,0.93,42.28,78.91,2.98,46,5.85,Poor,3,Low,48,54433.0,False,Moderate,1496.77,0,0.0
CO,1960,2771.0,1,820.0,Frame,7,712368.0,2000,Rural,30,False,True,26.9,7.92,18,412356.0,0.678,17.21,30.42,0.14,93,27.94,Adequate,2,Low,66,300012.0,False,High,4137.48,1,3012.41
FL,1970,2293.0,0,753.0,Frame,4,455617.0,500,Suburban,22,False,False,10.47,11.97,120,404232.0,0.908,32.83,46.62,32.1,54,6.47,Poor,0,Low,56,51385.0,False,High,3311.36,2,5213.81
CA,1997,3100.0,1,700.0,Frame,3,692464.0,1000,Rural,22,True,False,19.68,10.79,3,482808.0,0.659,12.44,61.26,1.28,81,12.6,Adequate,0,Low,29,209656.0,True,High,3242.71,2,8368.06
NY,1961,2023.0,0,754.0,Frame,10,480156.0,1000,Urban,20,False,True,31.53,0.37,120,442466.0,1.257,35.33,67.86,0.7,46,1.66,Adequate,1,Low,65,37690.0,False,High,3164.1,1,2252.48
TX,1975,2220.0,0,772.0,Frame,4,378933.0,2000,Urban,27,False,True,33.58,52.73,120,404972.0,1.294,30.62,52.17,0.77,80,16.81,Adequate,3,Low,51,0.0,False,Moderate,2458.25,2,2043.74
FL,1999,2906.0,0,731.0,Frame,6,556589.0,2000,Urban,9,False,False,4.05,0.02,120,455625.0,0.396,10.09,94.03,0.21,48,4.77,Adequate,1,Low,27,100964.0,False,Low,1131.55,1,1415.23
WA,1961,2895.0,0,641.0,Frame,7,832042.0,2000,Suburban,15,False,False,18.16,0.89,120,510914.0,0.964,17.16,68.59,9.78,33,0.52,Adequate,0,Moderate,65,321128.0,False,High,2784.57,1,3125.95
TX,1971,1937.0,0,656.0,Masonry,8,547014.0,2000,Rural,18,True,False,20.27,0.04,120,514230.0,1.888,17.78,76.66,7.81,76,15.15,Adequate,3,Low,55,32784.0,False,Moderate,2065.2,0,0.0
CA,1977,2211.0,0,700.0,Frame,10,524179.0,1000,Suburban,13,False,True,14.12,15.39,120,433027.0,0.97,7.81,69.77,6.17,50,29.22,Adequate,1,Low,49,91152.0,True,Moderate,2066.55,0,0.0
TX,1999,2266.0,1,632.0,Frame,3,224066.0,1000,Rural,19,False,True,3.99,32.93,15,370618.0,0.646,4.99,75.7,0.25,72,24.79,Excellent,1,Low,27,0.0,False,Low,1185.04,1,1308.58
FL,1961,2004.0,0,635.0,Frame,6,358709.0,1000,Suburban,22,False,True,37.01,6.13,120,346946.0,0.273,25.68,49.93,6.37,39,2.73,Poor,0,Moderate,65,11763.0,False,High,3619.61,1,1355.53
LA,1994,2294.0,1,602.0,Frame,2,556165.0,1000,Suburban,11,True,True,15.06,2.24,10,349595.0,0.27,22.28,72.19,0.8,62,25.31,Excellent,1,Moderate,32,206570.0,False,Moderate,1968.9,0,0.0
CO,1962,3146.0,0,742.0,Frame,7,790844.0,1000,Rural,28,False,False,24.79,4.14,120,578336.0,0.31,45.27,74.32,2.11,58,0.03,Adequate,3,Low,64,212508.0,False,Very High,4731.78,1,3094.01
MA,1970,2494.0,0,700.0,Frame,5,449156.0,1000,Rural,25,False,True,26.24,0.39,120,441332.0,2.237,21.43,33.12,0.27,59,0.8,Adequate,1,Low,56,7824.0,True,Moderate,2007.47,0,0.0
LA,1973,1581.0,0,798.0,Frame,9,335066.0,1000,Rural,22,False,True,23.05,0.23,120,327864.0,2.11,23.06,57.6,10.25,75,4.52,Adequate,1,Low,53,7202.0,False,Moderate,1543.59,2,6805.58
FL,2003,1893.0,1,711.0,Fire Resistive,5,384923.0,2000,Urban,8,False,False,10.05,1.75,19,369031.0,0.115,2.55,64.43,14.85,76,0.74,Poor,0,Low,23,15892.0,False,Low,1160.99,0,0.0
WA,1994,1328.0,2,683.0,Frame,9,202991.0,2000,Suburban,5,True,False,14.36,32.57,14,245344.0,0.983,41.29,85.39,1.5,47,13.34,Poor,0,Moderate,32,0.0,False,Moderate,1321.25,0,0.0
TX,1996,3572.0,0,667.0,Masonry,1,1098838.0,500,Suburban,9,False,True,14.52,0.04,120,718327.0,0.413,14.38,53.97,0.44,60,0.67,Adequate,5,High,30,380511.0,False,High,3080.18,1,3287.6
CA,1950,1700.0,0,700.0,Frame,5,331383.0,2000,Rural,30,False,True,8.2,18.53,120,343471.0,0.448,10.39,66.52,0.13,31,25.87,Adequate,0,Low,76,0.0,True,Moderate,1575.93,0,0.0
CA,1955,2767.0,0,700.0,Fire Resistive,10,786386.0,1000,Urban,29,False,True,19.65,4.87,120,510235.0,2.56,18.07,77.42,1.13,53,0.2,Poor,0,Low,71,276151.0,True,High,4039.44,0,0.0
LA,2019,1756.0,0,714.0,Frame,2,383025.0,2000,Urban,4,True,False,8.58,6.02,120,262522.0,1.212,15.86,25.91,16.29,91,4.12,Adequate,0,High,7,120503.0,False,Low,717.6,0,0.0
NY,1973,3003.0,0,709.0,Frame,6,628863.0,5000,Urban,21,False,False,5.63,14.97,120,540521.0,1.404,39.66,41.76,3.06,50,3.84,Excellent,0,Low,53,88342.0,False,Moderate,1881.57,3,4933.42
TX,1962,1689.0,0,772.0,Frame,2,422352.0,2000,Urban,17,True,False,17.85,4.51,120,227369.0,0.093,52.84,60.87,6.36,36,1.18,Poor,2,Moderate,64,194983.0,False,Moderate,1767.4,0,0.0
NY,1980,2893.0,0,624.0,Frame,7,786790.0,1000,Suburban,22,True,False,10.5,33.32,120,552176.0,0.455,69.53,61.53,6.54,74,1.29,Poor,1,High,46,234614.0,False,High,2578.63,0,0.0
TX,2021,1079.0,0,647.0,Frame,5,206893.0,1000,Suburban,3,False,True,23.96,0.57,120,167580.0,0.38,3.27,18.56,1.79,94,5.24,Adequate,6,Low,5,39313.0,False,Moderate,1315.76,1,800.78
LA,1951,2051.0,0,601.0,Frame,3,373301.0,5000,Urban,27,True,True,25.75,7.08,120,346520.0,0.376,25.48,47.51,3.89,32,1.37,Poor,0,Low,75,26781.0,False,Moderate,2411.27,1,3518.61
NY,2020,2689.0,0,842.0,Frame,6,472454.0,5000,Suburban,7,True,False,1.02,19.07,120,408440.0,1.803,20.78,28.44,6.72,92,16.74,Excellent,0,Low,6,64014.0,False,Low,799.55,0,0.0
FL,1950,867.0,0,782.0,Frame,9,161647.0,1000,Rural,24,False,False,6.87,1.37,120,232095.0,2.623,24.23,62.85,7.48,31,2.89,Adequate,0,Low,76,0.0,False,Low,1044.13,0,0.0
FL,1960,2622.0,0,713.0,Frame,7,529796.0,1000,Suburban,16,False,False,20.34,6.65,120,475986.0,0.52,50.98,30.05,1.74,32,9.37,Poor,1,Low,66,53810.0,False,Moderate,1957.34,0,0.0
OK,2010,1723.0,1,659.0,Frame,2,341203.0,1000,Suburban,15,False,False,5.4,0.01,34,310567.0,0.397,27.09,39.11,11.67,96,9.77,Poor,3,Low,16,30636.0,False,Low,833.3,2,1726.92
FL,1960,2636.0,0,667.0,Frame,1,818522.0,1000,Suburban,21,True,False,15.97,5.16,120,528339.0,0.251,53.08,12.84,12.35,43,1.94,Excellent,0,Low,66,290183.0,False,Moderate,2373.04,0,0.0
CA,1976,3454.0,0,700.0,Frame,3,929726.0,1000,Suburban,15,False,False,22.71,9.55,120,662244.0,0.645,39.83,35.39,1.05,43,3.5,Adequate,1,Low,50,267482.0,True,High,2540.8,1,3561.48
CA,2009,1876.0,1,700.0,Frame,10,433076.0,5000,Rural,9,True,True,18.55,15.49,29,268657.0,1.133,18.48,70.24,10.27,83,18.3,Poor,1,High,17,164419.0,True,Moderate,1582.55,1,650.33
Other,2022,2599.0,0,775.0,Frame,7,491160.0,1000,Suburban,2,False,False,26.37,0.31,120,375610.0,0.33,7.84,43.54,3.21,84,0.57,Adequate,2,Low,4,115550.0,False,Low,1167.68,0,0.0
GA,1991,2980.0,1,756.0,Frame,1,874596.0,1000,Rural,18,True,True,2.84,7.96,10,671322.0,0.302,42.92,58.0,3.01,88,10.68,Adequate,2,Moderate,35,203274.0,False,Moderate,2167.25,0,0.0
LA,1957,2262.0,0,751.0,Masonry,10,437543.0,2000,Suburban,29,True,False,2.94,0.12,120,528047.0,0.774,10.22,53.94,4.9,69,1.04,Excellent,0,Low,69,0.0,False,Moderate,2181.63,0,0.0
TX,1974,1737.0,0,600.0,Fire Resistive,7,417391.0,5000,Suburban,25,False,True,31.53,0.12,120,286535.0,0.6,22.99,40.57,0.21,82,4.8,Poor,6,Moderate,52,130856.0,False,Very High,5076.13,2,9388.85
Other,2017,2468.0,0,766.0,Masonry,3,347500.0,1000,Suburban,9,False,True,19.85,4.84,120,224227.0,0.251,28.06,54.87,3.86,70,5.61,Poor,2,Moderate,9,123273.0,False,Low,1043.39,0,0.0
MA,2006,1707.0,1,700.0,Frame,6,266592.0,2000,Suburban,21,False,False,27.82,0.0,10,333891.0,0.684,9.2,21.22,9.93,98,1.03,Poor,1,Low,20,0.0,True,Moderate,1405.41,0,0.0
LA,1974,2496.0,0,628.0,Frame,2,724708.0,2000,Rural,13,False,False,24.98,1.16,120,499934.0,2.712,22.98,29.33,3.12,49,7.57,Adequate,0,High,52,224774.0,False,Moderate,2108.93,1,427.39
NY,2019,3019.0,0,664.0,Frame,8,513041.0,1000,Suburban,4,True,False,12.71,4.15,120,508810.0,0.412,4.05,49.08,3.97,78,5.96,Excellent,0,Low,7,4231.0,False,Low,1013.52,0,0.0
TX,2008,2271.0,0,669.0,Frame,6,497601.0,500,Urban,12,False,False,17.59,0.49,120,326537.0,0.529,11.67,67.87,1.51,82,1.2,Adequate,3,Moderate,18,171064.0,False,Moderate,1263.19,0,0.0
CA,1995,2738.0,0,700.0,Frame,4,384593.0,2000,Urban,25,False,False,20.77,3.88,120,342493.0,0.371,6.57,52.32,0.21,78,16.63,Adequate,0,Low,31,42100.0,True,Moderate,1354.74,0,0.0
GA,1976,2017.0,2,587.0,Frame,4,268614.0,500,Urban,20,False,False,3.11,1.09,36,373573.0,0.283,13.28,38.2,1.83,54,2.01,Adequate,2,Low,50,0.0,False,Moderate,1264.92,0,0.0
NY,2003,1991.0,1,791.0,Frame,3,364850.0,1000,Urban,12,True,True,9.11,59.7,16,327219.0,1.149,65.04,39.29,1.49,80,20.25,Adequate,1,Moderate,23,37631.0,False,Moderate,1511.73,0,0.0
TX,2023,1495.0,1,659.0,Masonry,3,339422.0,1000,Suburban,1,False,True,8.91,3.17,31,183277.0,0.707,24.06,30.23,5.15,96,1.08,Adequate,3,Moderate,3,156145.0,False,Low,866.53,0,0.0
FL,2023,2956.0,0,672.0,Frame,4,572430.0,1000,Suburban,1,False,False,27.5,58.41,120,557874.0,0.246,59.1,44.22,10.5,95,15.94,Poor,1,Moderate,3,14556.0,False,Moderate,1780.79,4,8070.69
CO,2020,1897.0,0,552.0,Frame,6,403976.0,1000,Suburban,4,False,False,13.07,15.83,120,241062.0,1.732,18.56,51.26,6.01,92,14.35,Adequate,1,Low,6,162914.0,False,Low,773.99,0,0.0
TX,1968,3162.0,1,681.0,Frame,4,873143.0,2000,Urban,21,False,False,23.4,22.45,4,551828.0,0.169,62.93,38.64,1.07,44,7.24,Excellent,3,Low,58,321315.0,False,Very High,6356.8,1,5065.85
WA,1951,3187.0,0,716.0,Frame,9,658785.0,500,Suburban,28,False,True,17.61,1.75,120,650772.0,1.014,23.3,34.86,1.99,31,2.93,Adequate,0,Moderate,75,8013.0,False,High,3727.91,1,4064.91
MA,2014,2804.0,0,700.0,Masonry,4,824503.0,5000,Suburban,6,True,False,21.91,0.29,120,554784.0,1.018,32.56,19.19,3.02,90,8.61,Poor,1,High,12,269719.0,True,Moderate,1444.73,0,0.0
LA,1979,1272.0,2,581.0,Frame,10,273274.0,1000,Suburban,11,False,False,5.08,18.14,9,259603.0,1.25,53.58,52.08,14.78,54,12.04,Adequate,3,Low,47,13671.0,False,Moderate,2445.52,2,2145.51
